pseudo_sentence,gold_cd,sentence
"Unknown person and unknown family of unknown origin. Unknown unknown unknown unknown. In our secure place, God healed, in him we trust.",<unk> # <unk> # <unk> # person|individual # and # <unk> # family|relatives # of|by # <unk> # full stop|. # <unk> # <unk> # <unk> # <unk> # full stop|. # our|belongs to us # safe|secure # place|location # god|he # god|deity # comma|pause # god|he # healed|cured # comma|pause # in|inside # <unk> # god|he # we|us # <unk> # full stop|.,"&lt;&lt;For the Chief Musician. By the sons of Korah. According to Alamoth.Alamoth is a musical term.&gt;&gt; God is our refuge and strength, a very present help in trouble."
"He left the stupid, that left their left side. Teach, despise, you who consider wisdom if correct.",he left|there left # stupid|dumb # comma|pause # that left # their left|their left side # <unk> # teach|instruct # comma|pause # <unk> # despise|hate # comma|pause # <unk> # you|who # consider|wondering # wisdom|knowledge # if|in case # correct|accurate # <unk> # full stop|.,"A fool despises his father's correction, but he who heeds reproof shows prudence."
"If it is well, then the remaining will inherit their grandchildren, and additionally, beloved by the wicked will be gifted.",if|whether # <unk> # good|well # comma|pause # then|next # will|shall # left|remaining # inherit|acquire # <unk> # theirs|your # grandchildren|grandkids # and|additionally # dear|beloved # of|by # sinner|wicked # will|shall # present|gift # <unk> # <unk> # <unk> # full stop|.,"A good man leaves an inheritance to his children's children, but the wealth of the sinner is stored for the righteous."
"Verse 10: When it is my desire, I will chastise them; and the nations will be gathered against them, when they are bound to their two transgressions.",<unk> # come|arrive # against|opposed # <unk> # men|males # future|will # <unk> # comma|pause # then|it # future|will # <unk> # <unk> # <unk> # hit|strike # full stop|.,"A righteous person is delivered out of trouble, and the wicked takes his place."
"If you lack wisdom, ask for it, and it will be given to you generously without finding fault.",he|you # <unk> # wisdom|knowledge # if|whether # <unk> # <unk> # they|them # he left|there left # <unk> # and|additionally # destroys|ruins # them # full stop|.,"A wise king winnows out the wicked, and drives the threshing wheel over them."
"Adam lived 130 years, and became the father of a son in his own likeness, after his image, and named him Seth.",3|three # and|also # adam # living|live # 130|one hundred thirty # comma|pause # and|also # son|whelp # same|identical # himself|herself # comma|pause # same|identical # whose|his # image|reflection # comma|pause # and|also # <unk> # name|called # seth # comma|pause,"Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth."
Word 1. Word 2. Word 3. Full stop. Word 4. Word 5. Word 6. Comma. Word 7. Word 8. Word 9. Word 10. Word 11. Word 12. Word 13. Word 14. Full stop. Word 15. Word 16. Live. Word 17. Word 18. Word 19. Word 20. Full stop.,<unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # <unk> # comma|pause # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # live|life # <unk> # <unk> # <unk> # <unk> # full stop|.,After these things he gave them judges until Samuel the prophet.
"Then the kinsman came out with the scarlet thread on his wrist, and his name was Zerah.",thirty|30 # then|next # pronoun|class project # brother|kinsman # come|coming # outside|out # with|by # the # scarlet|red # thread|yarn # about|concerning # whose|his # wrists|wrist # comma|pause # and|also # you|her # was|were # name|title # zerah|twin son of judah # full stop|.,"Afterward his brother came out, that had the scarlet thread on his hand, and his name was called Zerah."
"They left the impoverished family, despised by their relatives. Did they leave their buddies far away? They chase after speaking, but they do not come.",they|them # family|relatives # of|by # poor|impoverished # he left|there left # they|them # hate|despise # ?|question # their left|their left side # friends|buddies # <unk> # far|distant # full stop|. # <unk> # they|them # chase|chases # speak|talk # comma|pause # but|however # they|them # come|coming # not|dis # full stop|.,"All the relatives of the poor shun him: how much more do his friends avoid him! He pursues them with pleas, but they are gone."
Deaf or hearing-impaired individuals can potentially teach others who are deaf or hearing-impaired. They should have the same language skills. This will benefit future generations.,deaf|hearing-impaired # <unk> # he|she # possible|potential # <unk> # teach|instruct # <unk> # you all|these # deaf|hearing-impaired # <unk> # full stop|. # <unk> # should|ought to # <unk> # same|alike # <unk> # language # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # future|futurity # <unk> # <unk> # full stop|.,"As an educator of the Deaf, I feel that it is a potential additional tool in teaching English to Deaf individuals. American Sign Language (ASL) should be acknowledged as a foreign language in educational institutions. I am confident that Sign Writing will contribute to making this achievable."
