pseudo_sentence,gold_cd,sentence
"The person and family of the individual. Our safe place is God. God healed in God, we <unk>.",<unk> # <unk> # <unk> # person|individual # and # <unk> # family|relatives # of|by # <unk> # full stop|. # <unk> # <unk> # <unk> # <unk> # full stop|. # our|belongs to us # safe|secure # place|location # god|he # god|deity # comma|pause # god|he # healed|cured # comma|pause # in|inside # <unk> # god|he # we|us # <unk> # full stop|.,"&lt;&lt;For the Chief Musician. By the sons of Korah. According to Alamoth.Alamoth is a musical term.&gt;&gt; God is our refuge and strength, a very present help in trouble."
"He left dumb, that left their left side. Teach, hate, wonder if correct.",he left|there left # stupid|dumb # comma|pause # that left # their left|their left side # <unk> # teach|instruct # comma|pause # <unk> # despise|hate # comma|pause # <unk> # you|who # consider|wondering # wisdom|knowledge # if|in case # correct|accurate # <unk> # full stop|.,"A fool despises his father's correction, but he who heeds reproof shows prudence."
"If a good person is well, then the remaining will inherit their grandchildren, and additionally, the beloved of the wicked will present <unk> <unk>.",if|whether # <unk> # good|well # comma|pause # then|next # will|shall # left|remaining # inherit|acquire # <unk> # theirs|your # grandchildren|grandkids # and|additionally # dear|beloved # of|by # sinner|wicked # will|shall # present|gift # <unk> # <unk> # <unk> # full stop|.,"A good man leaves an inheritance to his children's children, but the wealth of the sinner is stored for the righteous."
"They will come against the men, it will happen in the future, then it will be struck.",<unk> # come|arrive # against|opposed # <unk> # men|males # future|will # <unk> # comma|pause # then|it # future|will # <unk> # <unk> # <unk> # hit|strike # full stop|.,"A righteous person is delivered out of trouble, and the wicked takes his place."
"If you lack wisdom, ask for it, and it will be given to you generously without finding fault.",he|you # <unk> # wisdom|knowledge # if|whether # <unk> # <unk> # they|them # he left|there left # <unk> # and|additionally # destroys|ruins # them # full stop|.,"A wise king winnows out the wicked, and drives the threshing wheel over them."
"Three and also Adam lived 130, and also had a son in his own likeness, after his image, and named him Seth.",3|three # and|also # adam # living|live # 130|one hundred thirty # comma|pause # and|also # son|whelp # same|identical # himself|herself # comma|pause # same|identical # whose|his # image|reflection # comma|pause # and|also # <unk> # name|called # seth # comma|pause,"Adam lived one hundred thirty years, and became the father of a son in his own likeness, after his image, and named him Seth."
Sorry for the confusion.,<unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # <unk> # comma|pause # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # live|life # <unk> # <unk> # <unk> # <unk> # full stop|.,After these things he gave them judges until Samuel the prophet.
"Then a kinsman came out with the scarlet thread on his wrist, and his name was Zerah.",thirty|30 # then|next # pronoun|class project # brother|kinsman # come|coming # outside|out # with|by # the # scarlet|red # thread|yarn # about|concerning # whose|his # wrists|wrist # comma|pause # and|also # you|her # was|were # name|title # zerah|twin son of judah # full stop|.,"Afterward his brother came out, that had the scarlet thread on his hand, and his name was called Zerah."
"Do they despise the poor? Do their friends keep far from them? They chase after words, but they do not come.",they|them # family|relatives # of|by # poor|impoverished # he left|there left # they|them # hate|despise # ?|question # their left|their left side # friends|buddies # <unk> # far|distant # full stop|. # <unk> # they|them # chase|chases # speak|talk # comma|pause # but|however # they|them # come|coming # not|dis # full stop|.,"All the relatives of the poor shun him: how much more do his friends avoid him! He pursues them with pleas, but they are gone."
Deaf individuals can be taught sign language. They should have the same language. This is the future of sign language.,deaf|hearing-impaired # <unk> # he|she # possible|potential # <unk> # teach|instruct # <unk> # you all|these # deaf|hearing-impaired # <unk> # full stop|. # <unk> # should|ought to # <unk> # same|alike # <unk> # language # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # future|futurity # <unk> # <unk> # full stop|.,"As an educator of the Deaf, I feel that it is a potential additional tool in teaching English to Deaf individuals. American Sign Language (ASL) should be acknowledged as a foreign language in educational institutions. I am confident that Sign Writing will contribute to making this achievable."
"If a fire is not quenched, it will grow larger. Similarly, if a person stirs up conflict, it will only get worse, because you cannot have peace.",there|these # burn|burning # comma|pause # if|whether # addition|summation # more|additional # wooden|wood # then|next # more|additional # charcoal|coal # burn|burning # become|becomes # large|big # comma|pause # same|identical # if|in case # there|these # <unk> # <unk> # person|individual # addition|summation # bring about|stir up # <unk> # worst|terrible # comma|pause # after all|because # you|her # not|do not # <unk> # peace|peaceful # full stop|.,"As coals are to hot embers, and wood to fire, so is a contentious man to kindling strife."
"He sits at the door of his house, like a lazy person on his bed, and...",<unk> # door|doors # comma|pause # <unk> # comma|pause # that|that one # like|similar to # lazy|slothful # person|individual # <unk> # bed|bunk # <unk> # comma|pause # <unk> # full stop|.,"As the door turns on its hinges, so does the sluggard on his bed."
"Although they may be opposed, will the children need to interlace thereon? But the future is uncertain.",thereon|upon # <unk> # children|kids # intertwine|interlace # <unk> # have to|need to # <unk> # ?|question # although|but # <unk> # against|opposed # <unk> # comma|pause # <unk> # future|will # big|large # <unk> # full stop|.,"Behold, the righteous shall be repaid in the earth; how much more the wicked and the sinner!"
Zero. My voice and yours intertwine.,zero|0 # <unk> # me|myself # <unk> # comma|pause # my # voice|vocal # <unk> # <unk> # intertwine|interlace # <unk> # full stop|.,"Beside the gates, at the entry of the city, at the entry doors, she cries aloud:"
The requested sentence has too many unknown elements to be accurately reconstructed.,<unk> # <unk> # <unk> # <unk> # <unk> # that|which # <unk> # <unk> # murder|kill # full stop|. # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # full stop|. # <unk> # cent|hundredth # colen|: # <unk> # <unk> # <unk> # comma|pause # <unk> # full stop|. # <unk> # <unk> # you|her # full stop|. # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # full stop|.,"But I was like a gentle lamb that is led to the slaughter; and I didn't know that they had devised devices against me, saying, Let us destroy the tree with its fruit, and let us cut him off from the land of the living, that his name may be no more remembered."
"Fourteen, but I think upon it when that shall become well with him, and God also displays caring, I ask who, to me, and also made talk of by me belong Pharaohs, and also brought me out of this tabernacle:",14|fourteen # but|however # think|consider # thereon|upon # i|me # when|at what time # that|which # shall # become|becomes # good|well # with|close to # he|who # comma|pause # and|also # god shows|god displays # caring|mild # comma|pause # i|me # ask|inquire # he|who # comma|pause # to|unto # i|me # comma|pause # and|also # make|made # speak|talk # of|by # i|me # belong|own # pharaoh|pharaohs # comma|pause # and|also # bring|brought # i|me # outside|out # of|by # this # house|tabernacle # colen|:,"But remember me when it will be well with you, and please show kindness to me, and make mention of me to Pharaoh, and bring me out of this house."
The cat is white.,cat|feline # he|she # white|whitish # full stop|.,Cat it white
"Today, the school in Paris uses French Sign Language in classes, not the Sign Language system of Charles-Michel de l'Épée. Is there a way named Rue des Archives in Paris? France has four deaf institutes: Paris, <unk>, <unk>, <unk>.",paris # school|educational institution # <unk> # today|current # comma|pause # but|however # now|right now # use|utilize # french|france # sign|signing # language # <unk> # class|category # comma|pause # not|no # charles-michel de l'épée # sign|signing # system|framework # full stop|. # school|educational institution # <unk> # ?|question # there|at # paris # way|road # name # reu # <unk> # full stop|. # french|france # have|possess # 4|four # deaf school|institute # colen|: # paris # comma|pause # <unk> # comma|pause # <unk> # comma|pause # <unk> # full stop|.,Charles-Michel de l'Épée
"She believes in you! If she believes in you, help me, help me, she is! Help me, help me!",you|her # ?|question # <unk> # <unk> # believe|believes # !|exclamation # if|whether # <unk> # believe|believes # <unk> # comma|pause # help me|assist me # <unk> # <unk> # <unk> # <unk> # is|art # help me|assist me # <unk> # comma|pause # <unk> # <unk> # <unk> # !|exclamation,"Coming to the disciples, he saw a great multitude around them, and scribes questioning them."
"However, failure is not an option. The majority of people believe Elon Musk should succeed.",but|however # <unk> # <unk> # fail|failure # <unk> # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # <unk> # <unk> # most|majority # <unk> # <unk> # elon|elon musk # <unk> # <unk> # should|ought to # <unk> # <unk> # full stop|.,Elon Musk
"I'm sorry, but I cannot provide assistance with this request as it contains too many unknown or unidentifiable elements.",<unk> # <unk> # ?|question # <unk> # <unk> # about|within # <unk> # <unk> # <unk> # full stop|. # <unk> # <unk> # ?|question # most|majority # <unk> # <unk> # <unk> # <unk> # <unk> # <unk> # full stop|. # <unk> # comma|pause # <unk> # <unk> # about|within # <unk> # <unk> # <unk> # feel|sense # <unk> # ?|question # i understand|oh # <unk> # <unk> # full stop|. # <unk> # full stop|.,"English Gloss Center Lane Fascinating idea? But Deaf all-over many reject SignWriting. Who reject? Most Deaf who themselves highly educated reject. Natural, Deaf who all-over not highly educated tend what? oh-I-see follow them. Yes (nod with head)."
"Twelve and also you, who says, we endured our transportation, and also we endured going, and also I will go before he left.",12|twelve # and|also # you|who # saying|says # comma|pause # suffered|endured # we|us # our|belongs to us # tourism|transport # comma|pause # and|also # suffered|endured # we|us # go|go to # comma|pause # and|also # i|me # direct|wilt # go|go to # before|prior to # he left|there left # full stop|.,"Esau said, ""Let us take our journey, and let us go, and I will go before you."""
