Row	Precision	Recall	F1
1	0.3108	0.3108	0.3108
2	0.2619	0.2750	0.2683
3	0.4400	0.3793	0.4074
4	0.0816	0.0930	0.0870
5	0.1304	0.1622	0.1446
6	0.4918	0.7692	0.6000
7	0.2564	0.1299	0.1724
8	0.6786	0.6552	0.6667
9	0.4091	0.5094	0.4538
10	0.2843	0.3671	0.3204
11	0.3889	0.2763	0.3231
12	0.4815	0.4483	0.4643
13	0.0462	0.2444	0.0777
14	0.1489	0.2500	0.1867
15	0.2696	0.3827	0.3163
16	0.4684	0.5211	0.4933
17	0.8462	0.7857	0.8148
18	1.0000	0.0682	0.1277
19	0.0930	0.0952	0.0941
20	0.5000	0.0702	0.1231
21	0.2340	0.2785	0.2543
22	0.2791	0.3529	0.3117
23	0.4766	0.5204	0.4976
24	0.8667	0.9286	0.8966
25	0.3492	0.3188	0.3333
26	0.1731	0.3750	0.2368
27	0.8571	0.8571	0.8571
28	0.7647	0.8667	0.8125
29	0.4135	0.5443	0.4699
30	0.6596	0.5741	0.6139
31	0.1250	0.1000	0.1111
32	0.0000	0.0000	0.0000
33	0.4930	0.4730	0.4828
34	0.4872	0.5846	0.5315
35	0.1053	0.1538	0.1250
36	0.3971	0.3506	0.3724
37	0.3571	0.0714	0.1190
38	0.6000	0.6000	0.6000
39	0.7857	0.8462	0.8148
40	0.3750	0.0600	0.1034
41	0.3968	0.4464	0.4202
42	0.4127	0.4333	0.4228
43	0.3095	0.3611	0.3333
44	0.4000	0.4314	0.4151
45	0.8000	0.9231	0.8571
46	0.5357	0.6383	0.5825
47	0.2719	0.5254	0.3584
48	0.2917	0.2333	0.2593
49	0.6875	0.8462	0.7586
50	0.7857	0.9167	0.8462
51	0.7736	0.8542	0.8119
52	0.5833	0.6282	0.6049
53	0.5568	0.7424	0.6364
54	0.5467	0.6029	0.5734
55	0.3333	0.3333	0.3333
56	0.3509	0.3571	0.3540
57	0.5152	0.6182	0.5620
58	0.2143	0.0667	0.1017
59	0.2000	0.0309	0.0536
60	0.9286	0.8667	0.8966
61	0.7750	0.8378	0.8052
62	0.6327	0.8158	0.7126
63	0.5600	0.6364	0.5957
64	0.7500	0.6610	0.7027
65	0.3333	0.4474	0.3820
66	0.2571	0.1915	0.2195
67	0.5556	0.8333	0.6667
68	0.8125	0.9286	0.8667
69	0.7857	0.8462	0.8148
70	0.6667	0.6944	0.6803
71	0.5890	0.6143	0.6014
72	0.4103	0.3902	0.4000
73	0.6429	0.6207	0.6316
74	0.6102	0.6429	0.6261
75	0.0741	0.1429	0.0976
76	1.0000	0.2778	0.4348
77	0.2188	0.2000	0.2090
78	0.5000	0.3000	0.3750
79	0.4086	0.3838	0.3958
80	0.1786	0.1724	0.1754
81	0.7111	0.8205	0.7619
82	0.3571	0.2326	0.2817
83	0.2027	0.1829	0.1923
84	0.0870	0.0270	0.0412
85	0.3571	0.1000	0.1562
86	0.2295	0.3333	0.2718
87	0.2500	0.1500	0.1875
88	0.1047	0.1731	0.1304
89	0.2540	0.3200	0.2832
90	0.5957	0.5833	0.5895
91	0.1026	0.2857	0.1509
92	0.1094	0.1094	0.1094
93	0.4390	0.5538	0.4898
94	0.4242	0.5385	0.4746
95	0.4444	0.4444	0.4444
96	0.3171	0.3514	0.3333
97	0.4198	0.5231	0.4658
98	0.5974	0.6133	0.6053
99	0.5000	0.6393	0.5612
100	0.8125	0.9286	0.8667
101	0.3077	0.3429	0.3243
102	0.3178	0.3579	0.3366
103	0.5217	0.4898	0.5053
104	0.4510	0.4107	0.4299
105	0.5758	0.6552	0.6129
106	0.3537	0.3973	0.3742
107	0.4615	0.4615	0.4615
108	0.3333	0.4247	0.3735
109	0.4000	0.4737	0.4337
110	0.4375	0.3733	0.4029
111	0.3684	0.4487	0.4046
112	0.3793	0.3333	0.3548
113	0.2105	0.2143	0.2124
114	0.2250	0.3158	0.2628
115	0.5690	0.5156	0.5410
116	0.3415	0.3043	0.3218
117	0.5000	0.3548	0.4151
118	0.2917	0.3750	0.3281
119	0.4133	0.3780	0.3949
120	0.3810	0.2909	0.3299
121	0.4167	0.3676	0.3906
122	0.4262	0.4333	0.4298
123	0.3696	0.3778	0.3736
124	0.3220	0.2923	0.3065
125	0.3390	0.3279	0.3333
