Row	Precision	Recall	F1
1	0.3882	0.4459	0.4151
2	0.3235	0.2750	0.2973
3	0.3158	0.3103	0.3130
4	0.2642	0.3256	0.2917
5	0.1379	0.1081	0.1212
6	0.4154	0.6923	0.5192
7	0.1538	0.1039	0.1240
8	0.5962	0.5345	0.5636
9	0.2597	0.3774	0.3077
10	0.2523	0.3418	0.2903
11	0.2909	0.2105	0.2443
12	0.6500	0.4483	0.5306
13	0.2143	0.0667	0.1017
14	0.1591	0.2500	0.1944
15	0.2374	0.4074	0.3000
16	0.4478	0.4225	0.4348
17	0.8333	0.7143	0.7692
18	1.0000	0.0682	0.1277
19	0.2000	0.0714	0.1053
20	0.5000	0.0702	0.1231
21	0.2727	0.3797	0.3175
22	0.3830	0.5294	0.4444
23	0.4519	0.4796	0.4653
24	0.8667	0.9286	0.8966
25	0.4030	0.3913	0.3971
26	0.2000	0.3750	0.2609
27	0.0741	0.4286	0.1263
28	0.7647	0.8667	0.8125
29	0.3361	0.5063	0.4040
30	0.5957	0.5185	0.5545
31	0.0000	0.0000	0.0000
32	0.1600	0.1905	0.1739
33	0.4658	0.4595	0.4626
34	0.4186	0.5538	0.4768
35	0.8571	0.9231	0.8889
36	0.5000	0.4805	0.4901
37	0.1940	0.1857	0.1898
38	0.5571	0.6500	0.6000
39	0.7857	0.8462	0.8148
40	0.2000	0.0600	0.0923
41	0.3818	0.3750	0.3784
42	0.4179	0.4667	0.4409
43	0.3235	0.3056	0.3143
44	0.3725	0.3725	0.3725
45	0.0385	0.1538	0.0615
46	0.5192	0.5745	0.5455
47	0.3131	0.5254	0.3924
48	0.2812	0.3000	0.2903
49	0.6875	0.8462	0.7586
50	0.7857	0.9167	0.8462
51	0.6667	0.7083	0.6869
52	0.5169	0.5897	0.5509
53	0.3871	0.5455	0.4528
54	0.2222	0.0294	0.0519
55	0.2941	0.2778	0.2857
56	0.1818	0.0357	0.0597
57	0.4615	0.4364	0.4486
58	0.2308	0.0667	0.1034
59	0.2542	0.1546	0.1923
60	0.1505	0.9333	0.2593
61	0.7442	0.8649	0.8000
62	0.6304	0.7632	0.6905
63	0.5094	0.6136	0.5567
64	0.7708	0.6271	0.6916
65	0.3409	0.3947	0.3659
66	0.1463	0.1277	0.1364
67	0.1000	0.1667	0.1250
68	0.7059	0.8571	0.7742
69	0.1111	0.2308	0.1500
70	0.5385	0.0972	0.1647
71	0.4304	0.4857	0.4564
72	0.3684	0.3415	0.3544
73	0.3913	0.4655	0.4252
74	0.4203	0.5179	0.4640
75	0.1600	0.2857	0.2051
76	1.0000	0.2778	0.4348
77	0.2973	0.3143	0.3056
78	0.5625	0.3000	0.3913
79	0.4706	0.4848	0.4776
80	0.1591	0.2414	0.1918
81	0.5918	0.7436	0.6591
82	0.4615	0.2791	0.3478
83	0.1791	0.1463	0.1611
84	0.1447	0.1486	0.1467
85	0.2667	0.0800	0.1231
86	0.2586	0.3571	0.3000
87	0.0000	0.0000	0.0000
88	0.1111	0.1538	0.1290
89	0.3125	0.3000	0.3061
90	0.4348	0.4167	0.4255
91	0.8571	0.8571	0.8571
92	0.0968	0.0938	0.0952
93	0.4430	0.5385	0.4861
94	0.3729	0.4231	0.3964
95	0.4444	0.5333	0.4848
96	0.3542	0.4595	0.4000
97	0.4198	0.5231	0.4658
98	0.5067	0.5067	0.5067
99	0.4211	0.5246	0.4672
100	0.8125	0.9286	0.8667
101	0.3704	0.2857	0.3226
